row_id,date,portfolio_id,ticker,sector,asset_class,investment_style,benchmark,currency,market_regime,goal_type,risk_tolerance,investment_horizon_yr,target_annual_return_pct,goal_progress_pct,price_close,avg_cost_basis,shares_held,position_value,unrealized_pnl,unrealized_pnl_pct,portfolio_value,allocation_pct,target_allocation_pct,allocation_drift_pct,cash_pct,pe_ratio,pb_ratio,dividend_yield_pct,revenue_growth_pct,eps_growth_pct,debt_to_equity,free_cash_flow_B,esg_total_score,rsi_14,macd,macd_signal,sma_50,sma_200,momentum_3m_pct,beta,alpha_pct,sharpe_ratio,volatility_30d_pct,max_drawdown_pct,return_1y_pct,benchmark_return_1y_pct,excess_return_pct,slippage_pct,stop_loss_price,analyst_rating,news_sentiment_score,earnings_surprise_pct,next_earnings_days,short_interest_pct,institutional_ownership_pct,recommendation,recommendation_confidence,recommendation_score,recommendation_reasoning,goal_risk_mismatch_flag
12,11-02-2023,PORT-2245,AEP,Utilities,Equity,Momentum,Russell 2000,USD,Sideways,Balanced,Aggressive,7,23.1,16.2,454.74,522.68,63,28648.62,-4280.22,-13,9999082.89,0.29,7.65,-7.36,15.45,54.1,11.81,4.56,41.57,74.96,0.7,-0.94,31.4,66,-2.82,1.995,473.23,466.38,-19.9,0.54,5.97,2.49,11.3,-9.03,95.06,-14.05,109.11,0.15,437.9,Strong Buy,0.858,8.79,88,15.21,20.3,STRONG BUY,0.99,7,overbought; high risk-adj return; positive alpha; benchmark outperformance,FALSE
13,27-07-2023,PORT-5526,AMD,Technology,Equity,Value,Dow Jones,USD,Recovery,Balanced,Aggressive,1,14.2,61.8,26.83,25.54,511,13710.13,659.19,5.05,1100111.76,1.25,19.25,-18,3.82,53,12.5,4.95,17.66,53.38,3.38,12.04,80.6,71.1,2.31,-2.316,26.72,26.14,13.05,1.86,-6.01,3.03,18.41,-26.76,45.45,0.84,44.61,0.142,23.64,Strong Buy,-0.011,-3.75,31,18.14,51.5,STRONG BUY,0.96,7,overbought; high risk-adj return; benchmark outperformance; attractive yield,FALSE
14,22-08-2023,PORT-3068,SRE,Utilities,Equity,Blend,NASDAQ 100,EUR,Volatile,Growth,Conservative,30,15.2,16.3,661.82,584.87,605,400401.1,46554.75,13.16,3721753.48,10.76,11.52,-0.76,0.25,31.4,14.95,3.85,11.39,25.37,1.07,9.99,74.1,64.3,1.902,-3.085,700.4,781.18,-4.76,0.75,5.56,2.54,37.82,-0.97,76.57,-3.71,80.28,0.11,639.92,Hold,-0.641,-19.29,37,12,47.4,BUY,0.69,4,high risk-adj return; positive alpha; benchmark outperformance; attractive yield,TRUE
15,08-03-2022,PORT-4792,META,Technology,Equity,Momentum,MSCI World,USD,Volatile,Growth,Conservative,10,12.6,82.8,554.51,616.54,165,91494.15,-10234.95,-10.06,1534515.97,5.96,11.69,-5.73,14.06,28.5,14.91,0.83,42.33,40.63,2.77,9.74,59.2,57.3,4.9,-1.946,546.89,634.4,6.04,1.42,9.02,3.29,16.43,-39.45,52.46,-11.36,63.82,0.276,502.6,Buy,0.104,-12.17,59,2.24,29.8,STRONG BUY,0.89,7,high risk-adj return; positive alpha; benchmark outperformance; analyst upgrade,TRUE
16,07-01-2023,PORT-8141,DIS,Communication Services,Equity,ESG,NASDAQ 100,USD,Volatile,Growth,Moderate,30,13.9,111.6,787.9,585.29,179,141034.1,36267.19,34.62,7936654.23,1.78,12.31,-10.53,9.4,67,13.85,3.07,20.15,10.41,1.41,12.16,60.5,21.6,2.345,1.037,806.44,910.63,5.02,0.66,7.51,2.94,37.29,-48.96,67.07,25.18,41.89,0.261,756.33,Strong Sell,-0.92,17.81,53,8.67,67,BUY,0.81,5,oversold; high risk-adj return; positive alpha; benchmark outperformance,FALSE
17,12-11-2022,PORT-9165,MMM,Industrials,Equity,Dividend,S&P 500,EUR,Volatile,Preservation,Very Aggressive,10,21.7,61,97.34,82.88,128,12459.52,1850.88,17.45,9703338.03,0.13,8.68,-8.55,5.47,44.1,14.83,4.6,25.69,21.32,0.66,16.81,76.7,46.3,0.492,4.277,103.41,85.8,20.03,1.6,-5.21,3.39,38.49,-38.04,-17.83,10.3,-28.13,0.045,93.8,Strong Sell,-0.184,-8.76,62,24.52,30.7,REDUCE,0.58,-2,high risk-adj return; benchmark underperformance; attractive yield; stretched valuation,FALSE
18,20-06-2024,PORT-2633,EQIX,Real Estate,REIT,Value,Russell 2000,EUR,Recovery,ESG,Moderate,30,14.5,6.7,332.78,390.23,283,94176.74,-16258.35,-14.72,8214467.26,1.15,6.37,-5.22,2.88,28.1,8.97,6.99,21.72,-5.14,1.89,15.95,61.4,54.3,-3.113,1.975,329.21,309.06,13.47,0.67,9.84,-0.33,45.96,-14.74,73.6,1.23,72.37,0.236,317.59,Buy,-0.009,-18.15,84,24.26,16.4,BUY,0.8,6,positive alpha; benchmark outperformance; attractive yield; analyst upgrade,FALSE
19,09-05-2023,PORT-9153,MDLZ,Consumer Staples,Equity,ESG,S&P 500,USD,Recovery,Aggressive Growth,Very Aggressive,5,7.6,30.5,811.94,987,399,323964.06,-69848.94,-17.74,9543688.95,3.39,12.91,-9.52,12.76,71.7,7.52,3.79,31.31,3.48,2.4,12.94,37.1,30,2.039,-3.995,905.15,896.5,-22.77,0.8,-7.33,0.8,8.09,-32.08,20.3,-6.57,26.87,0.032,775,Sell,0.132,19.63,59,6.76,10.8,BUY,0.8,4,oversold; benchmark outperformance; attractive yield; stretched valuation,FALSE
20,08-10-2022,PORT-2591,GIS,Consumer Staples,Equity,Blend,Dow Jones,USD,Bear,Growth,Very Aggressive,1,18.2,39,612.41,584.6,266,162901.06,7397.46,4.76,4595516.34,3.54,6.74,-3.2,8.82,80,12.86,0.75,13.6,15.9,1.04,34.36,21.6,78.4,3.651,2.783,597.1,491.91,36.4,2.02,9.14,2.83,54.66,-11.21,-7.78,24.11,-31.89,0.288,568.99,Buy,0.273,11.04,75,9.44,21.2,STRONG BUY,0.98,8,overbought; high risk-adj return; positive alpha; benchmark underperformance,FALSE
21,30-03-2023,PORT-2035,MMM,Industrials,Equity,Dividend,Russell 2000,GBP,Bear,Income,Moderate,30,4.5,105,484.18,418.1,178,86184.04,11762.24,15.8,2606852.34,3.31,16.67,-13.36,6.04,41.7,12.17,5.23,10.4,-8.48,3.37,5.32,92.5,41.9,4.673,3.046,510.23,577.13,38.81,1.78,-7.68,1.65,30.01,-16.36,54.13,12.15,41.98,0.354,444.17,Hold,-0.783,-8.31,53,3.36,13.9,REDUCE,0.51,-2,high risk-adj return; benchmark outperformance; attractive yield; stretched valuation,FALSE
22,14-05-2023,PORT-3063,DUK,Utilities,Equity,Momentum,MSCI World,USD,Bull,Income,Moderate,7,16.5,12.5,641.9,735.54,978,627778.2,-91579.92,-12.73,5424915.33,11.57,12.16,-0.59,15.3,59.8,13.33,4.58,47.53,41.57,3.29,12.55,71.8,42,-1.373,4.809,633.38,574.14,-12.62,2,6.83,-0.26,20.17,-1.59,92.86,25.33,67.53,0.009,606.22,Strong Buy,0.326,12.09,27,14.87,79.1,STRONG BUY,0.88,10,positive alpha; benchmark outperformance; attractive yield; stretched valuation,TRUE
23,15-06-2022,PORT-6277,USB,Financials,Equity,Growth,Dow Jones,USD,Bull,Preservation,Moderate,5,6.3,12.2,761.61,583.36,897,683164.17,159890.25,30.56,306512.49,222.88,1.28,221.6,5.5,64.5,3.87,2.27,-1.93,-14.76,2.6,25.36,75.9,76.7,-3.909,0.038,812.43,765.64,8.1,0.29,10.01,2.97,33.68,-27.1,94.96,-16.65,111.61,0.285,687.91,Sell,0.695,1.31,82,14.84,70.5,REDUCE,0.55,0,overbought; high risk-adj return; positive alpha; benchmark outperformance,FALSE
24,05-11-2024,PORT-4485,WBD,Communication Services,Equity,Value,S&P 500,GBP,Sideways,Balanced,Very Aggressive,5,24.3,77.2,688.99,571.18,472,325203.28,55606.32,20.63,8886505.67,3.66,8.86,-5.2,4.48,67.2,6.22,5.11,8.44,11.25,0.89,47.59,71.5,42.4,-0.681,2.446,621.4,574.72,7.94,0.46,-6.62,3.33,35.89,-16.5,17.51,28.05,-10.54,0.24,614.72,Sell,0.736,16.05,14,9.08,57.3,HOLD,0.52,3,high risk-adj return; benchmark underperformance; attractive yield; stretched valuation,FALSE
25,30-05-2024,PORT-2816,MO,Consumer Staples,Equity,Dividend,Russell 2000,USD,Bear,Balanced,Conservative,10,9.7,79.6,183.69,206.03,326,59882.94,-7282.84,-10.84,9219298.33,0.65,7.67,-7.02,11.86,19.4,2.49,4.6,-9.78,54.1,3.4,2.77,59.8,76.5,-1.884,-1.756,181.65,158.52,0.1,1.39,12.32,0.12,46.49,-47.51,-28.58,4.37,-32.95,0.302,158.65,Sell,-0.029,2.1,68,16.84,13.9,SELL,0.73,-4,overbought; positive alpha; benchmark underperformance; attractive yield,FALSE
26,21-03-2024,PORT-6083,T,Communication Services,Equity,Growth,NASDAQ 100,USD,Bull,Income,Aggressive,15,9.1,29.4,285.63,220.5,519,148241.97,33802.47,29.54,7482790.53,1.98,4.34,-2.36,15.58,34.1,10.67,3.5,47.5,60.62,0.25,42.81,23.2,62.6,0.758,0.734,314.5,327,-28.5,1.04,-5.35,-0.42,22.86,-9.93,46.54,25.76,20.78,0.236,260.74,Hold,-0.824,22.22,10,13.01,19.7,BUY,0.75,4,benchmark outperformance; attractive yield,FALSE
27,05-08-2024,PORT-1672,GE,Industrials,Equity,Growth,Russell 2000,USD,Bear,Income,Conservative,30,22,105,177.22,140.31,787,139472.14,29048.17,26.31,6572314.65,2.12,4.37,-2.25,11.43,63.2,7.61,5.28,41.99,24.89,3.23,27.35,67.6,46.5,-3.49,-4.317,192.71,186.24,19.96,0.81,-1.68,-0.28,32.9,-34.48,23.27,-16.87,40.14,0.246,161.42,Hold,-0.847,23.21,25,8.38,50.4,HOLD,0.52,2,benchmark outperformance; attractive yield; stretched valuation; bear market caution,TRUE
28,04-11-2023,PORT-3093,ORCL,Technology,Equity,Dividend,NASDAQ 100,USD,Bull,Preservation,Conservative,3,5.8,76.1,246.64,237.43,459,113207.76,4227.39,3.88,5264482.1,2.15,12.59,-10.44,8.47,32.9,13.8,2.71,43.08,47.89,0.18,30.81,45.1,77.9,-2.48,3.516,250.07,235.45,-3.62,1.41,-4.54,-0.17,41.5,-4.16,3.43,16.08,-12.65,0.224,228.69,Sell,-0.742,15.44,47,0.95,36.3,SELL,0.83,-4,overbought; benchmark underperformance; rebalance needed,FALSE
29,01-08-2023,PORT-7256,EMR,Industrials,Equity,Growth,S&P 500,USD,Bear,Income,Moderate,20,18.2,111.3,804.54,612,799,642827.46,153839.46,31.46,5420719.05,11.86,15.03,-3.17,16.34,45,10.06,6.13,31.35,39.72,0.54,7.4,72,63.2,-4.563,-1.357,882.29,875.72,19.98,2.14,6.04,2.51,48.11,-38.3,-6.52,33.11,-39.63,0.228,726.4,Sell,0.808,-10.3,78,3.89,31.3,HOLD,0.59,2,high risk-adj return; positive alpha; benchmark underperformance; attractive yield,TRUE
30,16-12-2024,PORT-7934,ITW,Industrials,Equity,Blend,S&P 500,USD,Bull,Aggressive Growth,Conservative,3,9.4,90.4,270.06,335.73,160,43209.6,-10507.2,-19.56,8318914.85,0.52,2.74,-2.22,4.75,73.4,12.32,6.19,54.79,21.49,1.39,17.45,49,40.1,-4.009,2.147,252.21,250.47,-23.47,0.49,-7.12,3.17,30.99,-8.44,66.24,5.8,60.44,0.334,247.34,Strong Sell,-0.989,-16.04,16,1.67,45.7,BUY,0.8,4,high risk-adj return; benchmark outperformance; attractive yield; stretched valuation,FALSE
31,09-08-2024,PORT-8840,DUK,Utilities,Equity,ESG,Dow Jones,GBP,Bull,Balanced,Conservative,5,11.1,94.3,241.21,189.63,449,108303.29,23159.42,27.2,65565.14,165.18,7.7,157.48,1.26,48.2,3.13,4.68,24.26,16.06,3.34,26.29,79,42.4,-4.565,-1.131,213.44,277.23,10.61,1.69,0.21,-0.23,18.26,-17.14,-25.49,12,-37.49,0.257,229.06,Hold,-0.733,-2.39,59,1.41,27.1,REDUCE,0.61,-2,benchmark underperformance; attractive yield; stretched valuation; rebalance needed,TRUE
32,28-03-2022,PORT-6776,AMD,Technology,Equity,Dividend,MSCI World,USD,Sideways,ESG,Very Aggressive,20,12.9,35.2,49.24,53.58,302,14870.48,-1310.68,-8.1,3601893.05,0.41,15.84,-15.43,19.6,70.1,5.25,0.87,12.6,68.95,2.6,44.52,49,68.1,4.243,0.193,49.2,49.19,47.9,1.65,-6.18,1.91,50.23,-22.73,4.97,-15.6,20.57,0.276,43.93,Hold,-0.387,10.13,8,2.34,64.2,HOLD,0.55,1,overbought; high risk-adj return; benchmark outperformance; stretched valuation,FALSE
33,29-06-2022,PORT-6236,JPM,Financials,Equity,Value,NASDAQ 100,USD,Bear,ESG,Very Aggressive,15,5.6,83,235.66,256.19,380,89550.8,-7801.4,-8.01,3859401.3,2.32,11.78,-9.46,11,50.8,10.31,6.64,12.9,56.31,2.01,25.53,49.9,43.2,2.357,-0.01,221.5,199.22,21.96,1.32,-1.98,0.54,29.55,-0.18,-0.02,30.41,-30.43,0.069,220.48,Sell,-0.6,-13.21,38,22.34,82.4,SELL,0.79,-4,benchmark underperformance; attractive yield; stretched valuation; bear market caution,FALSE
34,23-10-2023,PORT-4694,C,Financials,Equity,Growth,NASDAQ 100,USD,Recovery,Income,Conservative,15,6.6,109.2,754,539.69,577,435058,123656.87,39.71,5744160.2,7.57,9.88,-2.31,10.38,78.7,2.29,6.19,-10.07,19.82,2.51,22.89,50.8,47.9,-1.83,-4.258,767.55,641,2.75,1.23,-5.05,2.82,35.32,-20.61,67.49,-12.9,80.39,0.061,655.8,Strong Sell,0.821,-17.23,37,21.23,31.3,HOLD,0.59,3,high risk-adj return; benchmark outperformance; attractive yield; stretched valuation,FALSE
35,22-10-2022,PORT-6121,FCX,Materials,Equity,Dividend,Dow Jones,USD,Bear,Aggressive Growth,Aggressive,15,13.2,85.8,484.91,388.5,974,472302.34,93903.34,24.82,5827432.69,8.1,4.25,3.85,17.22,52.2,13.57,2.36,54.29,-15.88,3.02,2.22,91.1,21.8,0.721,1.181,457.52,428.82,31.68,1.98,4.55,2.07,21.62,-37.76,73.03,2.34,70.69,0.194,424.05,Sell,-0.854,-17,52,3.7,41.5,HOLD,0.58,3,oversold; high risk-adj return; positive alpha; benchmark outperformance,FALSE
36,05-04-2024,PORT-6995,RTX,Industrials,Equity,Momentum,NASDAQ 100,USD,Volatile,Growth,Aggressive,1,13,49.1,105.52,92.24,403,42524.56,5351.84,14.4,8648430.31,0.49,8.94,-8.45,11.41,77.2,13.57,5.69,55.03,52.11,0.66,6.29,94.7,47.4,-4.1,-1.068,115.12,105.41,7.35,0.68,5.42,-0.31,20.47,-20.12,78,16.99,61.01,0.353,98.9,Hold,0.073,22.36,25,9.38,34.5,HOLD,0.55,3,positive alpha; benchmark outperformance; attractive yield; stretched valuation,FALSE
37,24-02-2022,PORT-8775,PEG,Utilities,Equity,Growth,S&P 500,EUR,Sideways,ESG,Conservative,10,24.6,111.4,363.94,470.24,581,211449.14,-61760.3,-22.61,9392538.24,2.25,15.34,-13.09,15.66,20.7,7.83,3.5,-11.6,-6.3,1.17,22.63,54.3,79.4,1.131,-3.375,365.29,338.9,18.5,1.68,-1.12,0.85,50.56,-23.38,59.22,-3.51,62.73,0.233,344.15,Strong Buy,-0.263,13.69,75,14.65,71.3,BUY,0.76,4,overbought; benchmark outperformance; attractive yield; analyst upgrade,TRUE
38,02-09-2023,PORT-5735,SCHW,Financials,Equity,ESG,NASDAQ 100,USD,Recovery,Balanced,Moderate,7,9.2,80.9,550.35,616.56,205,112821.75,-13573.05,-10.74,238426.81,47.32,6.96,40.36,9.78,17.2,10.48,2.87,43.12,72.05,3.05,36.26,24.7,38.8,1.622,0.255,511.69,511.84,-18.95,0.55,12.98,0.87,24.49,-11.4,60.93,15.38,45.55,0.223,482.65,Hold,0.22,-10.39,62,9.05,89.4,BUY,0.8,5,positive alpha; benchmark outperformance; undervalued P/E; rebalance needed,FALSE
39,12-08-2023,PORT-6262,COST,Consumer Staples,Equity,Momentum,Russell 2000,USD,Bull,ESG,Very Aggressive,10,22.4,76,286.57,250.05,741,212348.37,27061.32,14.61,836342.89,25.39,18.56,6.83,18.16,54.5,11.31,1.5,47.1,7.11,1.97,12.12,28.2,34,4.052,-2.743,268.64,235.08,29.27,0.4,-0.4,1.39,42.47,-43.13,95.03,33.79,61.24,0.191,250.44,Buy,-0.186,26.75,12,16.48,29.7,STRONG BUY,0.95,8,oversold; benchmark outperformance; stretched valuation; analyst upgrade,FALSE
40,15-07-2022,PORT-4027,NVDA,Technology,Equity,Momentum,MSCI World,USD,Volatile,Income,Conservative,5,21.4,57.5,890.73,1137.71,958,853319.34,-236606.84,-21.71,2930196.41,29.12,1.71,27.41,18.72,28.1,9.2,6.5,10.13,25.43,2.24,25.26,86.7,63.9,3.088,-1.693,891.63,809.79,-19.26,1.5,8.53,-0.44,23.54,-35.25,54.42,-9.38,63.8,0.206,766.39,Strong Sell,0.712,24.85,1,6.89,30,BUY,0.79,4,positive alpha; benchmark outperformance; attractive yield; positive news flow,TRUE
41,01-11-2024,PORT-4312,LMT,Industrials,Equity,Blend,Russell 2000,USD,Recovery,Aggressive Growth,Conservative,5,11.6,23.1,73.09,56.35,324,23681.16,5423.76,29.71,1639182.41,1.44,14.04,-12.6,17.09,74.3,13.36,5.39,36.77,43.87,3.29,17.11,36.6,62.1,4.888,-1.264,72.71,71.77,46.59,2.03,9.42,2.71,50.41,-11.91,55.25,12.77,42.48,0.367,63.11,Strong Buy,0.051,6.41,57,3.35,27.5,STRONG BUY,0.93,13,high risk-adj return; positive alpha; benchmark outperformance; attractive yield,TRUE
42,14-12-2023,PORT-2943,GILD,Healthcare,Equity,Growth,Dow Jones,EUR,Volatile,Growth,Very Aggressive,5,17.9,114.2,442.11,324.79,483,213539.13,56665.56,36.12,6744038.74,3.17,6.86,-3.69,7.86,7.6,4.12,0.02,1.34,-12.7,1.48,34.42,60.6,30.8,-0.279,-2.129,483.94,528.08,-25.18,0.47,6.76,2.42,58.01,-31.28,84.79,4.67,80.12,0.216,410.47,Sell,-0.249,14.14,17,18.33,28.9,BUY,0.65,6,oversold; high risk-adj return; positive alpha; benchmark outperformance,FALSE
43,21-10-2022,PORT-9540,META,Technology,Equity,Dividend,MSCI World,USD,Volatile,Aggressive Growth,Very Aggressive,7,18.1,50.5,246.42,223.67,292,71954.64,6643,10.17,1925380.49,3.74,17.63,-13.89,5.5,62.6,0.87,4.62,31.12,73.62,3.11,10.51,25,22.7,3.722,-2.553,243.25,263.38,17.52,1.08,4.41,2.52,47.68,-42.99,99.09,-7.12,106.21,0.128,218.38,Strong Sell,-0.362,9.9,72,23.74,84.8,STRONG BUY,0.98,7,oversold; high risk-adj return; positive alpha; benchmark outperformance,FALSE
44,08-09-2024,PORT-4422,DLR,Real Estate,REIT,ESG,MSCI World,GBP,Volatile,Growth,Aggressive,15,20,38.4,313.02,297.3,162,50709.24,2546.64,5.29,3033890.52,1.67,4.49,-2.82,18.18,45.8,3.92,1.58,49.32,-5.56,1.62,1,51,24.7,-2.45,-1.697,315.27,299.05,3.32,1.1,0.53,1.64,50.62,-47.42,12.8,13.27,-0.47,0.29,287.06,Strong Buy,0.747,-10.59,28,23.46,91.8,BUY,0.67,4,oversold; high risk-adj return; stretched valuation; analyst upgrade,FALSE
45,01-10-2024,PORT-8550,D,Utilities,Equity,Momentum,NASDAQ 100,GBP,Recovery,Aggressive Growth,Moderate,5,11.1,85.6,315.71,274.62,487,153750.77,20010.83,14.96,5359818.77,2.87,7.83,-4.96,7.04,25.4,7.89,3.48,-7.6,78.13,1.64,41.67,88.6,35.6,-2.787,-3.541,309.19,323.61,-0.34,2.07,5.32,1.17,13.38,-33.51,13.18,25.83,-12.65,0.305,286.87,Sell,0.101,27.17,18,18.15,51.5,BUY,0.82,4,positive alpha; benchmark underperformance; attractive yield,FALSE
46,04-02-2024,PORT-7652,LIN,Materials,Equity,ESG,S&P 500,USD,Recovery,Growth,Conservative,30,21.1,67.2,400.59,482.92,246,98545.14,-20253.18,-17.05,726281.02,13.57,3.87,9.7,19.8,22.2,7.06,0.42,32.83,73.39,3.19,32.28,21.2,37.2,2.222,0.357,392.07,323.15,12.58,1.2,8.05,1.22,56.68,-41.04,88.53,8.84,79.69,0.107,359.58,Buy,-0.616,6.32,29,7.85,80.4,STRONG BUY,0.86,10,positive alpha; benchmark outperformance; analyst upgrade; rebalance needed,TRUE
