applicant_id,age,annual_income_usd,monthly_income_usd,employment_tenure_years,credit_history_years,debt_to_income_ratio,credit_utilization_ratio,num_open_credit_lines,num_delinquencies_12m,num_late_payments_24m,loan_amount_requested_usd,loan_term_months,prior_defaults_flag,bankruptcies_count,avg_monthly_balance_usd,savings_balance_usd,checking_balance_usd,hard_inquiries_6m,revolving_balance_usd,mortgage_balance_usd,payment_to_income_ratio,secured_loan_ratio,recent_credit_growth_pct,region_risk_index,employment_type_code,housing_status_code,total_outstanding_debt_usd,credit_risk_score
A100055,53,62801.78,5233.48,2.18,21.77,0.333,0.141,7,1,3,171846.26,12,0,0,3158.91,41810.61,15447.37,0,5733.02,206832.72,0.299,0.11,0.222,0.814,1,2,120402.16,695
A100056,52,58748.08,4895.67,1.69,27.85,0.255,0.666,10,0,4,403781.74,240,0,0,5609.56,9394.29,18440.57,1,6472.97,108800.91,0.247,0.511,0.36,0.53,2,1,64636.23,598
A100057,33,83813.7,6984.48,11.19,6.51,0.525,0.675,3,0,3,385646.19,72,0,0,19124,59592.26,2506.3,0,35551.25,184900.91,0.424,0.377,0.209,0.566,1,1,180232.17,530
A100058,39,162009.05,13500.75,3.44,19.89,0.512,0.272,4,0,4,260685.85,48,0,0,5321,6685.2,1058.14,2,14693.42,111091.94,0.364,0.239,0.161,0.558,4,1,190484.55,657
A100059,46,114621.04,9551.75,6.36,27.74,0.149,0.414,7,4,2,218532.55,360,0,0,4041.04,16105.11,1691.95,0,20805.95,65745.97,0.146,0.548,0.041,0.572,3,3,71111,667
A100060,53,69325.54,5777.13,4.45,33.12,0.566,0.188,9,1,2,250484.36,360,0,0,1589.19,74285.55,3010.99,1,4166.3,40393.52,0.436,0.295,0.212,0.309,3,1,105984.77,666
A100061,37,129941.66,10828.47,2,7,0.03,0.274,8,1,2,187374.24,36,0,0,21815.82,8094.53,531.62,2,5734.91,201514.42,0.021,0.557,-0.008,0.315,1,1,82011.27,771
A100062,40,22000,1833.33,3.69,19.27,0.243,0.025,5,1,1,172980.63,24,1,0,10247.41,45905.01,2933.49,1,3719.03,200542.29,0.167,0.273,0.156,0.315,1,3,82795.28,639
A100063,30,159887.81,13323.98,2.02,8.25,0.316,0.285,11,0,1,459726.92,60,0,0,12287.84,115265.84,3753.04,1,17783.96,199641.93,0.201,0.258,0.081,0.599,2,1,184659.15,689
A100064,29,32648.82,2720.73,16.02,1,0.242,0.48,9,2,5,497121.88,180,0,0,14029.36,18984.69,1403.68,3,25500.07,161631.18,0.271,0.433,-0.057,0.282,1,3,98448.48,493
A100065,51,69637.88,5803.16,7.08,30.44,0.308,0.317,7,0,0,164166.04,360,0,0,5697.45,9445.81,1764.1,1,5405.5,257420.09,0.293,0.449,0.401,0.225,3,3,121652.83,686
A100066,57,45916.88,3826.41,4.4,34.94,0.205,0.344,9,2,2,210065.74,120,0,0,6955.1,7387.95,3689.68,0,6603.63,389920.44,0.144,0.285,-0.056,0.384,1,1,159896.72,695
A100067,41,41703.14,3475.26,6.15,24.3,0.29,0.59,8,1,2,189811.74,180,0,0,21384.87,58979.59,6201.15,0,6853.83,20322.01,0.286,0.544,0.049,0.451,1,2,39527.64,616
A100068,53,160951.97,13412.66,6.8,23.22,0.459,0.414,6,0,3,63139.9,360,0,0,7504.23,57356.31,2018.46,1,2415.93,13367.98,0.387,0.448,-0.165,0.491,1,3,186777.63,719
A100069,46,65720.81,5476.73,6.81,27.04,0.32,0.221,12,1,1,144643.74,120,0,0,10400.17,68162.72,5853.88,1,5075.76,516271.6,0.268,0.238,0.09,0.413,4,2,224946.55,704
A100070,35,102845.55,8570.46,6.63,13.69,0.656,0.534,4,0,1,509161.16,180,0,0,13042.88,15483.12,5089.8,1,17365.77,32902.17,0.455,0.425,0.198,0.587,4,1,120677.67,518
A100071,46,82834.52,6902.88,6.32,37.37,0.309,0.299,8,0,3,110564.88,120,1,0,10871.53,45168.31,4693.95,0,4276.43,41382.64,0.222,0.725,-0.043,0.71,1,3,66038.65,655
A100072,59,110500.91,9208.41,4.64,37.68,0.265,0.758,13,0,6,711524.68,360,0,0,5866.55,15237.35,2502.44,2,9740.18,84913.02,0.205,0.259,-0.207,0.509,1,1,88596.87,591
A100073,42,88668.38,7389.03,10.68,20.31,0.775,0.336,14,0,2,385614.8,48,0,0,6326.17,6616.28,1355.32,2,2960.65,24826.36,0.421,0.433,0.053,0.709,1,1,146868.57,536
A100074,59,41972.12,3497.68,4.84,38.67,0.517,0.163,10,0,0,233674.86,60,0,0,12108.58,49242.92,20715.54,1,7963.14,78026.8,0.373,0.83,0.092,0.599,1,3,89402.01,664
A100075,21,147024.32,12252.03,4.48,5.95,0.416,0.266,8,0,1,259175.38,36,0,0,12092.73,81978.66,7935.55,1,5575.61,46860.99,0.325,0.369,0.078,0.328,4,1,110049.52,731
A100076,51,64785.72,5398.81,4.86,26.82,0.082,0.355,10,0,1,99163.75,360,0,0,16550.04,5766.05,11125.46,1,3186.12,89163.66,0.077,0.565,0.405,0.348,2,2,46265.74,768
A100077,43,36108.61,3009.05,5.09,28.6,0.611,0.65,10,0,1,151495.84,72,0,0,10101.46,5658.49,4173.73,1,17620.32,141505.35,0.431,0.565,0.18,0.339,4,1,114915.68,544
A100078,39,67167.39,5597.28,1.12,23.63,0.457,0.283,10,0,4,459374.73,60,0,0,10476,16652.67,3882.4,1,18483.12,80744.99,0.401,0.268,0.166,0.466,3,2,110556.25,540
A100079,43,194040.93,16170.08,2.32,22.04,0.136,0.144,8,1,4,120724.7,360,0,0,4548.58,41625.68,6998.33,0,3947.64,77156.65,0.073,0.308,0.179,0.45,2,1,82298.99,789
A100080,21,135676.48,11306.37,4.04,1,0.399,0.18,4,0,1,358773.94,360,0,0,4083.21,5148.83,863.17,2,7489.25,138750.39,0.367,0.443,0.178,0.607,2,1,195455.75,607
A100081,40,70168.02,5847.33,1.07,18.19,0.157,0.105,7,3,4,73543.77,360,0,0,12137.58,20077.59,1650.2,0,9345.5,281559.27,0.106,0.51,0.04,0.472,3,1,133312.41,736
A100082,46,70144.65,5845.39,4.4,22.81,0.565,0.458,10,1,2,82611.91,36,0,0,4106.02,8865.45,2194.78,3,1924.52,465516.84,0.449,0.346,-0.048,0.545,2,1,230020.08,598
A100083,58,71218.45,5934.87,5.05,38.69,0.578,0.303,5,0,0,619465.42,360,0,0,6393.24,32246.77,2989.09,1,2744.77,90359.48,0.479,0.336,0.565,0.29,1,1,111197.69,581
A100084,36,266363.69,22196.97,1.58,16.69,0.502,0.512,7,0,4,178620.37,60,1,0,19590.03,7204.47,2038.78,2,26858.07,568431.38,0.404,0.592,0.094,0.544,2,1,422222.98,578
A100085,33,104869.4,8739.12,2.76,7.48,0.216,0.566,6,0,3,126840.69,12,0,1,17257.7,34618.62,6071.49,0,3639.57,242140.11,0.166,0.288,0.124,0.414,1,3,141334.24,610
A100086,36,107681.11,8973.43,9.31,9.07,0.478,0.321,8,0,2,436478.18,60,0,0,8274.95,13658.66,4842.25,3,26224.14,36294.74,0.302,0.288,0.128,0.401,4,2,135089.94,601
A100087,52,149800.91,12483.41,6.19,25.56,0.103,0.62,8,1,0,404536.05,120,0,0,5128.9,6267.94,15762.85,3,2868.02,35353.34,0.07,0.314,-0.016,0.384,1,2,33434.18,705
A100088,46,96929.63,8077.47,5.97,21.53,0.326,0.074,8,0,2,327486.66,36,0,0,5889.08,17052.19,41698.31,2,15756.11,65426.1,0.294,0.628,0.152,0.772,1,2,69967.77,687
A100089,36,73712.92,6142.74,8.63,12.69,0.256,0.485,9,0,0,124278.27,120,0,1,13012.76,2303.93,1444.14,1,6907.56,403680.59,0.181,0.379,-0.11,0.288,1,3,179358.91,702
A100090,48,76298.92,6358.24,2.36,31.74,0.242,0.608,7,0,1,149375.08,360,0,0,6312.95,9147.62,5137.94,0,7784.02,70052.84,0.186,0.288,0.249,0.622,3,2,61052.3,712
A100091,43,81717.7,6809.81,1.59,23.27,0.118,0.339,8,0,1,220415.76,60,0,0,4158.59,22420.82,5129.72,3,43587.49,20032.57,0.071,0.084,0.074,0.492,4,2,67002.89,759
A100092,53,83277.55,6939.8,7.94,33.86,0.323,0.264,6,3,2,282680.26,60,0,0,17191.62,2720.55,4442.86,0,3099.27,89522.02,0.285,0.454,0.323,0.255,2,1,82253.1,618
A100093,34,126829.99,10569.17,4.11,11.71,0.153,0.699,8,0,4,129339.73,60,1,0,7516.36,1223.18,1695.09,0,14921.5,18503.61,0.095,0.583,0.213,0.446,1,2,65947.08,671
A100094,38,87463.49,7288.62,2.31,12.89,0.223,0.197,5,0,0,201126.88,360,0,0,4095.95,1542.22,1971.12,2,14406.66,42563.34,0.198,0.296,0.191,0.079,1,1,75049.39,746
A100095,38,127179.99,10598.33,1.11,17.35,0.419,0.394,13,0,2,214168.09,24,0,0,9534.86,60323.23,5587,4,120000,64855.05,0.273,0.324,-0.023,0.81,1,2,282814.61,661
A100096,26,81309.03,6775.75,4.9,13.97,0.315,0.233,8,0,2,415447.89,72,0,0,14136.74,14817.81,1921.8,2,3602.63,125861.54,0.284,0.108,0.133,0.434,4,1,110423.19,654
A100097,45,88756.85,7396.4,3.8,17.95,0.23,0.253,7,1,3,293935.29,60,0,0,2902.76,9394.49,5193.57,0,5286.4,276504.32,0.18,0.471,0.256,0.701,3,2,144383.49,639
A100098,45,28322.06,2360.17,3.36,26.59,0.158,0.165,10,0,2,67595.12,360,0,0,5536.92,41171.38,3606.45,2,18006.96,205450,0.113,0.257,0.141,0.742,4,1,95990.28,734
A100099,42,140700.21,11725.02,0.54,23.37,0.38,0.713,4,2,3,156663.02,36,0,0,5335.89,10677.5,5111.89,1,7591.28,38057.11,0.37,0.446,-0.124,0.398,2,1,134869.83,618
A100100,39,102844.68,8570.39,10.6,14.42,0.396,0.207,1,1,2,98420.36,72,0,0,9333.7,20927.22,1908.1,1,6071.66,78723.31,0.305,0.654,0.297,0.505,3,2,86413.92,668
A100101,26,147165.35,12263.78,1.35,6.06,0.196,0.249,7,0,0,260398.64,60,0,1,10776.94,16417.44,5185.15,0,20309.92,117827.11,0.145,0.572,0.256,0.533,1,1,118302.26,740
A100102,37,22000,1833.33,3.59,14.9,0.238,0.495,10,0,3,327997.68,360,0,1,4181.3,9990.05,2036.47,0,7175.28,86877.05,0.212,0.61,-0.15,0.842,1,1,44539.6,596
A100103,38,268072.47,22339.37,3.19,14.67,0.328,0.368,8,0,2,192283,48,0,0,1969.15,21471.67,5200.23,3,4217.09,86324.6,0.198,0.181,0.143,0.466,3,1,256741.65,772
A100104,33,78718.4,6559.87,6.31,10.4,0.15,0.26,13,1,1,151210.71,180,0,0,14838.74,34669.14,15022.27,1,16684.88,23336.33,0.071,0.484,0.267,0.49,1,2,48213.07,762
A100105,40,156358.56,13029.88,1.13,19,0.03,0.247,6,2,1,188277.55,36,0,0,2653.41,13298.91,5691.44,0,12381.7,38978.87,0.028,0.681,0.012,0.248,2,2,34363.96,762
A100106,46,47976.1,3998.01,5.84,23.5,0.467,0.388,6,1,4,206180.99,360,0,0,8074.81,10094.93,6012.02,1,6898.51,76541.61,0.317,0.411,-0.119,0.339,2,1,71578.14,608
A100107,63,119065.87,9922.16,4.92,31.7,0.382,0.249,8,0,1,118734.76,180,0,0,5848.69,11359.75,9389.23,1,6625.78,6797.65,0.338,0.715,-0.074,0.41,1,2,92609.5,747
A100108,44,47620.95,3968.41,2.66,16.82,0.78,0.52,8,1,1,81515.62,180,0,0,7402.05,1607.49,1272.36,0,4135.28,195793.45,0.613,0.184,0.1,0.734,1,2,131901.69,502
A100109,45,60314.85,5026.24,5.71,19.16,0.31,0.501,8,0,2,47482.75,72,0,0,24356.27,21234.95,21138.73,4,16669.1,31978.67,0.199,0.042,0.288,0.841,1,2,60303.22,653
A100110,41,243561.26,20296.77,4.39,17.08,0.669,0.422,3,1,2,410191.96,60,0,0,73878.91,4775.4,1740.28,0,6626.87,204105.02,0.57,0.409,-0.076,0.59,2,1,265128.02,567
A100111,21,76537.13,6378.09,12.11,1,0.251,0.433,4,1,3,248537.79,48,0,0,1759.54,30033.32,9932.1,1,4677.93,188576.69,0.184,0.187,-0.074,0.563,1,1,100043.88,633
A100112,42,95797.76,7983.15,3.8,16.13,0.619,0.29,6,0,5,227827.56,180,0,0,14280.96,14616.7,8813.6,4,3017.72,67434.49,0.403,0.383,0.065,0.623,1,1,112203.56,607
A100113,43,137165.54,11430.46,2.08,15.43,0.589,0.359,7,0,0,409663.52,360,1,0,5736.24,17773.52,1997.96,2,12560.49,270689.89,0.385,0.33,0.244,0.377,2,2,271534.6,485
A100114,69,111639.65,9303.3,5.88,41.28,0.2,0.292,13,0,5,79591.13,60,0,0,15030.56,32230.65,11157.09,0,5841.16,214724.96,0.114,0.247,0.436,0.75,1,2,122506.35,793
A100115,40,92331.16,7694.26,3.48,14.92,0.516,0.697,6,1,1,58253.07,360,0,0,13979.79,6334.84,7043.53,2,1626.53,83297.21,0.427,0.193,0.136,0.242,1,2,133279.37,601
A100116,45,103894.9,8657.91,4.33,20.51,0.052,0.174,9,0,2,231066.97,36,0,0,20077.46,23146.35,24656.93,3,3236.35,75256.08,0.035,0.868,-0.002,0.418,1,1,38770.03,832
A100117,42,318789.12,26565.76,1.6,20.93,0.155,0.319,5,0,4,217801.31,360,0,0,8164.33,20909.63,5355.47,1,7379.21,295299.43,0.12,0.138,-0.023,0.618,1,1,204125.81,830
A100118,29,82348.56,6862.38,6.37,1,0.519,0.339,10,0,1,58417.03,60,0,0,3190.38,13300.58,4081.19,0,7557.33,135543.53,0.393,0.552,0.367,0.413,2,1,103628.05,649
A100119,55,94941.01,7911.75,3.09,32.88,0.161,0.386,9,0,1,227385.21,60,0,0,13652.49,6324.32,2831.46,3,7317.1,281662.01,0.107,0.234,-0.107,0.944,4,1,139009.61,697
A100120,50,151488.72,12624.06,5.16,32.13,0.227,0.658,7,1,2,138769.17,84,0,0,7143.48,29015.41,937.12,1,6500.52,12812.28,0.136,0.249,0.155,0.62,1,1,89892.97,702
A100121,51,156130.24,13010.85,13.92,27.21,0.304,0.307,9,1,4,106521.79,240,0,0,5390.98,32331.54,3379.31,1,2567.03,120195.18,0.329,0.468,0.357,0.677,3,1,143087.3,742
A100122,32,163288.39,13607.37,3.65,10.47,0.462,0.372,13,0,2,144927.18,240,0,0,4440.75,17924.9,3510.54,2,4279.59,26597.37,0.358,0.68,0.092,0.363,1,2,129853.8,750
A100123,57,120777.85,10064.82,6.91,38.76,0.125,0.512,7,1,3,36817.13,84,1,0,14539.52,5486.48,5696.94,0,24616.94,107476.34,0.125,0.473,-0.075,0.674,2,1,93135.91,725
A100124,27,45331.34,3777.61,3.82,8.52,0.226,0.497,6,1,2,122555.45,120,0,0,23441.26,9441.73,1250.18,1,21715.33,209122.15,0.208,0.489,0.215,0.646,3,2,114527.45,601
A100125,48,208729.38,17394.12,2.69,25.58,0.057,0.48,8,0,1,113882.29,24,0,0,2498.07,15063.22,3629.03,1,14709.35,526213.22,0.042,0.71,0.139,0.782,1,2,212667.6,797
A100126,66,45248.13,3770.68,9.5,43.34,0.467,0.238,7,1,1,258545.95,60,0,1,10690.59,31851.46,7558.73,1,13644.03,47282.03,0.375,0.368,0.205,0.105,1,2,78506.01,659
A100127,31,100393.83,8366.15,0.83,14.44,0.286,0.158,8,1,5,162407.28,60,0,0,4825.39,3284.12,8265.05,2,19419.29,68535.1,0.228,0.532,0.224,0.36,1,3,85790.37,696
A100128,36,56137.25,4678.1,8.03,15.37,0.246,0.277,9,1,1,272658.92,120,0,0,2009.7,9104.65,843.87,1,3471.37,100937.42,0.246,0.154,0.213,0.561,3,1,67105.88,663
A100129,43,82053.8,6837.82,0.74,16.99,0.498,0.518,7,3,0,34320.96,120,0,0,7315.29,10696.5,8498.11,4,9255.46,45759.64,0.438,0.596,0.173,0.566,1,1,101248.11,582
A100130,36,101846.89,8487.24,7.53,24.2,0.275,0.408,8,0,1,104328.34,240,0,0,3337.73,14722.36,3604.42,0,3472.93,265385.67,0.188,0.284,0.242,0.492,1,2,161304.99,751
