transaction_id,transaction_datetime,account_id,customer_id,bank_name,channel,transaction_type,amount_inr,merchant_category,sender_geography,receiver_geography,device_type,ip_address,kyc_status,account_age_days,previous_fraud_flag,velocity_last_1hr,geo_distance_km,behavioural_deviation_score,risk_score,risk_tier,alerts_triggered,num_alerts,txn_monitoring_agent_flag,behavioural_agent_flag,identity_verified,graph_network_agent_flag,case_escalated,account_frozen,sar_required,sar_status,resolution_time_hrs,fraud_confirmed,fraud_type
TXN99F9342BFD5B,2025-02-23 03:29:38,ACC330283,CUST17455,ICICI Bank,NEFT,Payment,134591.49,Utilities,Singapore,UK,ATM Terminal,116.132.126.216,Verified,3166,0,3,88.0,0.3211,0.1808,Low,Large Transaction,1,1,0,1,0,0,0,0,Not Required,23.7,0,None
TXN97A94EB50DAA,2025-12-14 00:19:27,ACC865179,CUST62772,Axis Bank,Mobile Banking,Refund,946762.21,Restaurants,Pune,Jaipur,ATM Terminal,107.31.105.214,Rejected,25,0,17,7416.2,0.9771,0.8094,Critical,AML Flag,1,1,1,1,1,1,1,1,Pending,1.14,1,Insider Fraud
TXN3440BBBD7EB1,2025-01-24 10:02:45,ACC748564,CUST42742,IndusInd Bank,UPI,Withdrawal,100364.16,Healthcare,USA,Kolkata,Unknown,43.239.65.252,Expired,2217,0,4,118.4,0.2983,0.0561,Low,None,0,0,0,1,1,0,0,0,Not Required,10.63,0,None
TXN4A5EC68476D0,2024-05-23 12:35:31,ACC407419,CUST17944,HDFC Bank,ATM,Withdrawal,50691.33,Healthcare,Hong Kong,Kolkata,Tablet,193.215.129.214,Verified,1956,0,5,10.4,0.4284,0.1164,Low,None,0,0,0,1,0,0,0,0,Not Required,56.47,0,None
TXNADFF6D5999CB,2023-02-01 15:49:19,ACC496922,CUST39451,PNB,Mobile Banking,Credit,71086.8,Fuel,Delhi,Lucknow,Desktop,120.131.188.43,Expired,2517,0,2,192.9,0.0486,0.031,Low,None,0,0,0,1,0,0,0,0,Not Required,41.88,0,None
TXNFA9E806A0A6D,2023-04-29 01:21:14,ACC905934,CUST42493,Yes Bank,ATM,Debit,115894.88,Crypto Exchange,UK,Dubai,POS Terminal,207.61.21.89,Expired,1784,0,5,129.5,0.0057,0.2606,Low,Geo Anomaly,1,1,0,1,1,0,0,0,Not Required,8.49,0,None
TXN25F072BF899F,2024-11-07 12:08:15,ACC905635,CUST80686,IndusInd Bank,Mobile Banking,Refund,144824.51,Entertainment,Hyderabad,Lucknow,POS Terminal,199.247.238.112,Expired,1129,0,1,55.8,0.2029,0.3627,Medium,Large Transaction,1,1,0,1,1,0,0,0,Not Required,24.88,0,None
TXND0A0FB90F6B4,2023-11-26 12:24:04,ACC900581,CUST73653,HDFC Bank,Wire Transfer,Transfer,42020.81,Healthcare,Lucknow,Singapore,Tablet,143.5.97.22,Verified,2979,0,5,151.6,0.3108,0.3677,Medium,New Beneficiary,1,1,0,1,1,0,0,0,Not Required,32.82,0,None
TXN0115B7243007,2025-12-10 15:41:40,ACC377370,CUST34931,Kotak Mahindra,ATM,Transfer,199786.08,Real Estate,Jaipur,Pune,ATM Terminal,191.169.180.180,Rejected,9,1,10,3277.3,0.8954,0.7006,High,Round Amount; Geo Anomaly,2,1,1,1,1,1,1,1,Filed,1.68,1,Shell Account
TXNA0B54CC891FA,2023-01-22 23:29:21,ACC325772,CUST84847,ICICI Bank,IMPS,Credit,6922.8,Travel,Mumbai,Jaipur,Tablet,179.64.251.27,Verified,2381,0,4,88.1,0.083,0.1021,Low,New Beneficiary,1,1,0,1,1,0,0,0,Not Required,9.1,0,None
TXN03CF2D900B1F,2025-09-04 19:26:12,ACC198246,CUST17989,ICICI Bank,UPI,Credit,121690.2,Fuel,Hyderabad,Delhi,Desktop,31.213.115.199,Expired,1588,0,3,172.0,0.4455,0.1713,Low,New Beneficiary,1,1,0,1,0,0,0,0,Not Required,44.28,0,None
TXN3DB1CEA26C0E,2023-11-24 19:35:22,ACC988662,CUST18981,Kotak Mahindra,POS,Refund,23642.86,Electronics,Bangalore,Jaipur,Mobile,41.1.209.116,Expired,1954,0,2,57.6,0.1272,0.4096,Medium,Velocity Check,1,1,0,1,0,0,0,0,Not Required,49.8,0,None
TXN7469985A2027,2025-10-24 02:41:25,ACC260265,CUST16572,Kotak Mahindra,ATM,Withdrawal,81729.9,Electronics,Dubai,Bangalore,Tablet,212.72.36.16,Verified,3276,0,5,184.2,0.1976,0.2815,Low,AML Flag,1,1,0,1,0,0,0,0,Not Required,50.68,0,None
TXNC8D4310097D3,2023-05-05 23:05:22,ACC380746,CUST19880,IndusInd Bank,UPI,Withdrawal,48416.01,Crypto Exchange,Hyderabad,Mumbai,Mobile,59.10.137.148,Verified,3155,0,4,103.8,0.199,0.1796,Low,None,0,0,0,1,1,0,0,0,Not Required,46.07,0,None
TXNB2D6F8FBC10D,2024-09-26 08:19:13,ACC340174,CUST65519,HDFC Bank,Wire Transfer,Transfer,15779.52,Real Estate,Bangalore,Pune,ATM Terminal,178.253.147.170,Pending,3362,0,4,17.6,0.1136,0.1198,Low,None,0,0,0,1,1,0,0,0,Not Required,62.41,0,None
TXNA0244104C44E,2024-10-03 22:59:10,ACC249811,CUST80855,Kotak Mahindra,UPI,Credit,54330.73,Entertainment,USA,Ahmedabad,Unknown,114.26.104.69,Expired,566,0,4,24.3,0.4379,0.3018,Medium,New Beneficiary,1,1,0,1,0,0,0,0,Not Required,51.39,0,None
TXN5AFE930991C3,2023-05-25 19:05:27,ACC358607,CUST80292,Kotak Mahindra,ATM,Debit,142064.41,Utilities,Dubai,UK,Desktop,128.149.139.107,Pending,1964,0,4,110.3,0.1726,0.4164,Medium,None,0,0,0,1,0,0,0,0,Not Required,62.35,0,None
TXN1736F333B1B7,2025-02-27 17:49:57,ACC271339,CUST66498,Axis Bank,POS,Debit,108935.04,Travel,UK,Lucknow,POS Terminal,169.250.76.115,Expired,2013,0,5,152.6,0.1697,0.4411,Medium,Round Amount,1,1,0,1,0,0,0,0,Not Required,70.63,0,None
TXNC60E2ECCC830,2023-03-09 19:17:21,ACC865179,CUST68800,SBI,Wire Transfer,Refund,105813.66,Utilities,USA,Kolkata,ATM Terminal,254.77.253.247,Verified,547,0,4,19.9,0.4097,0.0966,Low,Geo Anomaly,1,1,0,1,0,0,0,0,Not Required,30.11,0,None
TXN9DB85638F4BC,2025-08-26 04:47:40,ACC969693,CUST96374,Yes Bank,NEFT,Refund,9851.49,Electronics,UK,Jaipur,ATM Terminal,245.162.249.224,Verified,991,0,8,11525.4,0.8816,0.6902,High,Large Transaction; Geo Anomaly; Night Transaction,3,1,1,1,0,1,1,1,Filed,0.66,1,Identity Theft
TXNFD1C4F2D406F,2024-10-02 02:24:09,ACC230889,CUST47388,SBI,Mobile Banking,Credit,11937.36,Fuel,UK,Kolkata,POS Terminal,175.123.254.234,Expired,616,0,4,127.6,0.2068,0.3467,Medium,None,0,0,0,1,1,0,0,0,Not Required,64.99,0,None
TXN90D53EA95BC2,2024-04-09 17:16:43,ACC974628,CUST16572,SBI,NEFT,Refund,9844.46,Travel,Chennai,Kolkata,ATM Terminal,28.121.195.147,Expired,2894,1,20,12576.2,0.9612,0.9403,Critical,Structuring; Velocity Check; Multiple Failures; AML Flag,4,1,1,1,1,1,1,1,Pending,0.58,1,Money Mule
TXND3BA5EC5C5FB,2023-03-03 05:46:48,ACC260265,CUST62923,Kotak Mahindra,POS,Withdrawal,86978.11,Groceries,Singapore,Bangalore,Mobile,233.151.167.192,Pending,749,0,2,157.3,0.3944,0.1773,Low,None,0,0,0,1,0,0,0,0,Not Required,59.96,0,None
TXND99F4942A5D3,2024-06-10 04:13:11,ACC944151,CUST80678,Yes Bank,Net Banking,Withdrawal,21199.48,Electronics,Chennai,UK,Unknown,186.203.187.24,Pending,87,0,1,91.0,0.3028,0.3691,Medium,Multiple Failures,1,1,0,1,1,0,0,0,Not Required,59.39,0,None
TXN033FD6D48D74,2023-02-08 20:59:11,ACC865179,CUST22224,IndusInd Bank,IMPS,Transfer,100590.61,Unknown Vendor,Dubai,UK,ATM Terminal,233.154.209.30,Pending,2,1,9,6135.4,0.7484,0.99,Critical,Geo Anomaly; AML Flag; Large Transaction; Structuring,4,1,1,0,0,1,0,1,Pending,8.03,1,Structuring
TXNC4A115BDBBE2,2025-12-08 07:31:42,ACC705397,CUST31174,HDFC Bank,Wire Transfer,Credit,66759.91,Utilities,Chennai,UK,Tablet,26.188.183.16,Pending,1160,0,1,189.8,0.3709,0.1094,Low,None,0,0,0,1,0,0,0,0,Not Required,46.56,0,None
TXN3E8BFDCB0294,2023-07-15 14:46:57,ACC391476,CUST92719,ICICI Bank,ATM,Debit,100345.53,Online Gaming,UK,UK,Desktop,85.75.1.71,Pending,2242,1,9,715.5,0.916,0.6852,High,Geo Anomaly; Velocity Check,2,1,1,0,1,1,1,1,Under Review,1.1,1,Synthetic Identity
TXNDAA1DD2B4D4E,2025-03-08 06:53:52,ACC211579,CUST17100,Yes Bank,Net Banking,Withdrawal,33310.31,Entertainment,Lucknow,Mumbai,Unknown,201.154.234.165,Verified,279,0,4,137.2,0.2206,0.4312,Medium,Night Transaction,1,1,0,1,0,0,0,0,Not Required,64.85,0,None
TXN327268451C16,2024-03-03 05:20:22,ACC133326,CUST82063,ICICI Bank,IMPS,Refund,57197.57,Healthcare,Lucknow,Jaipur,Tablet,117.220.50.204,Verified,3523,0,4,90.3,0.1028,0.1657,Low,None,0,0,0,1,1,0,0,0,Not Required,29.31,0,None
TXNA2CBF9FE7630,2024-01-31 22:58:49,ACC183667,CUST87924,PNB,Wire Transfer,Credit,138455.46,Real Estate,Delhi,Delhi,Mobile,24.221.49.191,Verified,3355,0,5,12.0,0.4305,0.3115,Medium,None,0,0,0,1,0,0,0,0,Not Required,30.17,0,None
TXNDB411023D53A,2024-03-22 19:36:05,ACC772097,CUST52487,Kotak Mahindra,POS,Transfer,86729.99,Electronics,Chennai,Bangalore,Unknown,124.114.55.90,Expired,1535,0,3,114.8,0.3632,0.3834,Medium,None,0,0,0,1,0,0,0,0,Not Required,44.24,0,None
TXN348EC098558A,2024-04-24 23:47:02,ACC748564,CUST51467,ICICI Bank,Wire Transfer,Transfer,1765752.87,Groceries,Lucknow,Dubai,ATM Terminal,18.72.15.24,Pending,15,1,6,2755.9,0.9018,0.7999,Critical,Structuring; Round Amount; Geo Anomaly,3,1,1,0,1,1,1,1,Under Review,0.62,1,Card Fraud
TXN484731BACF11,2025-11-19 13:47:44,ACC835392,CUST97684,PNB,RTGS,Payment,46332.07,Real Estate,Chennai,Kolkata,POS Terminal,15.3.104.78,Verified,3173,0,3,57.9,0.054,0.2339,Low,None,0,0,0,1,1,0,0,0,Not Required,13.47,0,None
TXN673720DEB80B,2025-05-17 22:43:27,ACC145561,CUST17685,Yes Bank,Wire Transfer,Debit,129278.48,Retail,Mumbai,Kolkata,Mobile,118.39.160.148,Pending,2378,0,3,23.0,0.0094,0.2297,Low,Night Transaction,1,1,0,1,1,0,0,0,Not Required,60.07,0,None
TXN1AD870E6D16E,2024-11-07 19:11:53,ACC781453,CUST92719,IndusInd Bank,NEFT,Payment,9869.65,Electronics,Singapore,Pune,Desktop,86.86.39.131,Verified,824,0,8,2623.4,0.6789,0.851,Critical,Round Amount; Device Mismatch; Large Transaction,3,1,1,0,1,1,1,1,Pending,1.54,1,Card Fraud
TXN783A3E22D140,2025-09-13 21:38:16,ACC665158,CUST40828,ICICI Bank,Wire Transfer,Refund,22728.51,Healthcare,Delhi,Ahmedabad,ATM Terminal,162.155.140.152,Verified,1471,0,3,92.3,0.0169,0.2286,Low,None,0,0,0,1,0,0,0,0,Not Required,6.45,0,None
TXNB4932E01A8F4,2024-12-19 19:08:27,ACC694731,CUST62772,SBI,IMPS,Refund,6249.3,Unknown Vendor,Hong Kong,USA,POS Terminal,167.96.164.155,Pending,2083,0,1,90.1,0.3649,0.3801,Medium,None,0,0,0,1,0,0,0,0,Not Required,36.82,0,None
TXNAE0E007E2D14,2024-11-13 14:49:54,ACC887352,CUST19880,Yes Bank,IMPS,Payment,855016.33,Jewellery,Hong Kong,Hyderabad,ATM Terminal,105.173.26.203,Expired,4,0,7,8949.7,0.6566,0.8499,Critical,Structuring; AML Flag; Device Mismatch; New Beneficiary,4,1,1,0,0,1,1,1,Under Review,1.32,1,Insider Fraud
TXN9326835C35D6,2025-11-30 18:06:08,ACC590785,CUST51467,HDFC Bank,IMPS,Debit,100601.36,Real Estate,Jaipur,Pune,Mobile,93.158.92.244,Verified,1429,0,2,200.0,0.0697,0.1672,Low,Large Transaction,1,1,0,1,0,0,0,0,Not Required,37.05,0,None
TXN70D97821DA65,2023-07-23 13:51:44,ACC898975,CUST20500,Kotak Mahindra,NEFT,Credit,27208.81,Fuel,Singapore,USA,POS Terminal,208.84.224.12,Pending,1522,0,4,122.1,0.3386,0.357,Medium,None,0,0,0,1,0,0,0,0,Not Required,38.91,0,None
TXNC09EBBE3375A,2024-07-25 10:06:17,ACC340174,CUST25860,SBI,RTGS,Withdrawal,42337.58,Foreign Exchange,Kolkata,Jaipur,POS Terminal,108.82.102.206,Expired,596,0,4,174.8,0.2495,0.0841,Low,Velocity Check,1,1,0,1,0,0,0,0,Not Required,21.24,0,None
TXNCD9BE932D486,2024-11-10 14:09:33,ACC429963,CUST65461,SBI,Net Banking,Credit,67724.09,Online Gaming,Pune,Hong Kong,Mobile,107.27.202.129,Verified,995,0,3,44.9,0.1434,0.0826,Low,Geo Anomaly,1,1,0,1,0,0,0,0,Not Required,57.19,0,None
TXN2933BCB95B75,2023-08-04 14:33:59,ACC340174,CUST78522,PNB,RTGS,Withdrawal,1830543.48,Jewellery,Mumbai,Hyderabad,Desktop,214.76.216.29,Expired,4,1,20,9152.7,0.6066,0.9162,Critical,AML Flag; New Beneficiary; Geo Anomaly; Velocity Check,4,1,1,1,1,1,1,1,Under Review,0.56,1,Money Mule
TXN0862CC2C635A,2025-03-24 04:55:07,ACC590785,CUST41571,Yes Bank,Wire Transfer,Debit,81657.89,Entertainment,USA,Jaipur,POS Terminal,6.199.240.12,Pending,1559,0,3,157.7,0.1552,0.4452,Medium,Velocity Check,1,1,0,1,0,0,0,0,Not Required,55.78,0,None
TXN14038D351333,2024-06-09 21:57:23,ACC270555,CUST73788,Yes Bank,Mobile Banking,Refund,502634.72,Utilities,USA,Bangalore,Mobile,184.234.18.76,Pending,7,0,20,4173.0,0.9013,0.7664,Critical,Structuring; Multiple Failures; Night Transaction,3,1,1,1,1,1,0,1,Under Review,9.84,1,Synthetic Identity
TXN2534043ED0F4,2024-08-23 15:09:42,ACC279451,CUST19880,PNB,Wire Transfer,Credit,103841.07,Utilities,Pune,Hong Kong,POS Terminal,69.42.217.21,Pending,2497,0,5,58.8,0.0462,0.211,Low,None,0,0,0,1,0,0,0,0,Not Required,22.76,0,None
TXN188A3237DE59,2024-11-25 14:12:07,ACC330283,CUST65519,Axis Bank,UPI,Refund,136749.92,Online Gaming,Lucknow,Kolkata,Tablet,164.29.38.172,Pending,1518,0,1,28.6,0.2734,0.356,Medium,None,0,0,0,1,0,0,0,0,Not Required,9.96,0,None
TXN6B533E5198FC,2024-08-17 17:50:47,ACC319684,CUST17100,ICICI Bank,UPI,Payment,101891.4,Fuel,Pune,Pune,ATM Terminal,196.39.70.136,Verified,1660,0,2,192.1,0.0117,0.12,Low,Structuring,1,1,0,1,1,0,0,0,Not Required,65.86,0,None
TXN7A0714AFC734,2023-11-30 07:45:54,ACC407419,CUST82132,SBI,POS,Refund,149794.46,Unknown Vendor,Chennai,Delhi,Desktop,219.37.231.45,Pending,389,0,1,110.0,0.1307,0.169,Low,Round Amount,1,1,0,1,0,0,0,0,Not Required,51.54,0,None
TXN3CF664125801,2023-07-08 12:43:12,ACC852787,CUST40161,ICICI Bank,ATM,Credit,118576.92,Restaurants,Mumbai,Pune,POS Terminal,147.188.239.206,Expired,561,0,1,61.9,0.4498,0.3291,Medium,None,0,0,0,1,1,0,0,0,Not Required,55.61,0,None
TXN46B0597C894B,2023-04-26 05:04:20,ACC996865,CUST40828,ICICI Bank,RTGS,Withdrawal,197026.68,Real Estate,UK,USA,POS Terminal,164.93.66.111,Verified,2152,1,12,5517.3,0.9764,0.948,Critical,Device Mismatch; Round Amount,2,1,1,0,0,1,1,1,Under Review,1.27,1,Card Fraud
TXN4147C5C7CD86,2025-06-21 00:04:14,ACC391369,CUST86569,Kotak Mahindra,Mobile Banking,Credit,93709.43,Real Estate,Hong Kong,Lucknow,Tablet,216.21.14.21,Verified,2657,0,5,83.3,0.2875,0.2942,Low,Large Transaction,1,1,0,1,0,0,0,0,Not Required,46.58,0,None
TXN76619B9146D0,2024-04-07 01:08:18,ACC112038,CUST34931,ICICI Bank,RTGS,Debit,9080.96,Crypto Exchange,Ahmedabad,Kolkata,ATM Terminal,119.104.174.156,Verified,1310,0,4,26.2,0.1667,0.3215,Medium,Round Amount,1,1,0,1,0,0,0,0,Not Required,18.16,0,None
TXN34BB7A3A32C8,2023-05-31 09:24:00,ACC496922,CUST89507,Axis Bank,UPI,Transfer,129638.16,Retail,Kolkata,Chennai,Desktop,209.167.160.49,Verified,2070,0,3,99.5,0.0405,0.2091,Low,New Beneficiary,1,1,0,1,1,0,0,0,Not Required,69.63,0,None
TXN9953066E41DB,2024-03-13 01:43:28,ACC671858,CUST88504,Kotak Mahindra,RTGS,Payment,126443.16,Unknown Vendor,Dubai,Ahmedabad,Tablet,138.4.55.111,Verified,3644,0,4,73.2,0.1803,0.3252,Medium,Round Amount,1,1,0,1,0,0,0,0,Not Required,26.74,0,None
TXNFBA31F7238F8,2025-05-04 04:09:29,ACC694731,CUST22833,PNB,POS,Payment,49257.33,Real Estate,Delhi,Kolkata,Tablet,204.173.187.194,Pending,17,0,6,2487.0,0.7332,0.7995,Critical,Velocity Check,1,1,1,0,0,1,1,1,Pending,0.71,1,Wire Fraud
TXNEA4C2C3883AE,2025-07-11 07:39:34,ACC265840,CUST27342,Kotak Mahindra,Wire Transfer,Payment,76506.14,Online Gaming,Ahmedabad,Singapore,POS Terminal,77.243.8.95,Verified,2789,0,4,116.7,0.3585,0.3819,Medium,None,0,0,0,1,0,0,0,0,Not Required,43.38,0,None
TXN49F911E0BD31,2025-06-16 07:46:16,ACC632342,CUST51104,IndusInd Bank,ATM,Refund,87570.14,Groceries,Bangalore,Jaipur,Unknown,185.194.75.211,Verified,159,0,2,3.8,0.1412,0.0851,Low,None,0,0,0,1,0,0,0,0,Not Required,30.14,0,None
TXN04D6061C531D,2023-08-03 12:05:17,ACC555884,CUST12552,Kotak Mahindra,IMPS,Credit,48824.93,Entertainment,Dubai,Ahmedabad,POS Terminal,97.160.88.118,Expired,1432,0,5,96.8,0.4308,0.16,Low,Structuring,1,1,0,1,0,0,0,0,Not Required,16.97,0,None
TXN417F697980EB,2025-12-08 06:00:32,ACC663054,CUST54313,Kotak Mahindra,RTGS,Transfer,52385.6,Utilities,Hong Kong,Hong Kong,Unknown,71.147.62.147,Expired,1585,0,2,58.1,0.1294,0.3471,Medium,Round Amount,1,1,0,1,0,0,0,0,Not Required,66.6,0,None
TXN8289E906AC72,2025-04-16 15:38:25,ACC460663,CUST39451,SBI,POS,Payment,40816.06,Crypto Exchange,Delhi,Lucknow,Unknown,151.122.124.13,Expired,954,0,1,20.0,0.1486,0.2231,Low,None,0,0,0,1,0,0,0,0,Not Required,1.37,0,None
TXN79B4295BA469,2025-10-07 13:50:25,ACC961722,CUST31798,HDFC Bank,ATM,Transfer,42883.76,Healthcare,Mumbai,Hong Kong,Mobile,167.118.19.234,Verified,1741,0,1,199.4,0.1786,0.233,Low,None,0,0,0,1,0,0,0,0,Not Required,63.25,0,None
TXN3C24DDB780EE,2024-06-04 11:16:31,ACC634277,CUST79822,Axis Bank,POS,Withdrawal,81540.74,Real Estate,Ahmedabad,Hong Kong,Desktop,218.239.139.50,Verified,1384,0,4,129.7,0.3234,0.0261,Low,None,0,0,0,1,0,0,0,0,Not Required,57.14,0,None
TXN8BFE2B21B03E,2024-10-26 09:55:58,ACC930555,CUST34931,Yes Bank,IMPS,Transfer,60184.9,Electronics,Delhi,Bangalore,Desktop,123.165.127.2,Verified,1601,0,4,150.8,0.4293,0.1498,Low,None,0,0,0,1,0,0,0,0,Not Required,19.57,0,None
TXN1117E0D40F22,2023-07-03 15:44:30,ACC542417,CUST87924,IndusInd Bank,RTGS,Transfer,60871.95,Fuel,Jaipur,Hong Kong,Unknown,198.159.60.164,Verified,1535,0,2,191.5,0.2152,0.2156,Low,None,0,0,0,1,0,0,0,0,Not Required,30.53,0,None
TXN514C596FBFF9,2024-01-20 10:10:47,ACC724834,CUST87110,IndusInd Bank,Net Banking,Payment,79273.15,Utilities,Pune,Delhi,POS Terminal,29.31.103.147,Expired,643,0,3,170.9,0.1988,0.3125,Medium,None,0,0,0,1,1,0,0,0,Not Required,7.46,0,None
TXN35B1538A16B9,2025-03-08 07:15:59,ACC983794,CUST31643,ICICI Bank,NEFT,Withdrawal,8754.74,Jewellery,Ahmedabad,Dubai,Tablet,186.11.202.66,Verified,3084,0,5,14.6,0.1907,0.3212,Medium,None,0,0,0,1,0,0,0,0,Not Required,67.36,0,None
TXNBB99BBF9A57C,2024-03-21 23:31:02,ACC340174,CUST31174,PNB,NEFT,Credit,20400.79,Foreign Exchange,Dubai,Singapore,Unknown,247.215.191.229,Pending,1867,0,1,136.5,0.2978,0.3119,Medium,Night Transaction,1,1,0,1,0,0,0,0,Not Required,9.42,0,None
TXN4E9B3B5C5DB6,2023-01-06 09:29:37,ACC216970,CUST40161,ICICI Bank,UPI,Transfer,101057.63,Utilities,Jaipur,Kolkata,POS Terminal,98.117.126.118,Verified,665,0,1,6.4,0.2971,0.3044,Medium,Large Transaction,1,1,0,1,0,0,0,0,Not Required,18.09,0,None
TXNA0DB855E6126,2025-07-17 15:02:10,ACC872246,CUST82132,PNB,UPI,Credit,924077.63,Crypto Exchange,Chennai,Jaipur,Desktop,194.28.71.129,Expired,30,0,14,13205.7,0.9943,0.8985,Critical,AML Flag; Round Amount; Large Transaction,3,1,1,0,1,1,0,1,Pending,65.72,1,Insider Fraud
TXN2626480B835E,2025-09-26 08:33:40,ACC671858,CUST56438,Kotak Mahindra,NEFT,Payment,104476.63,Healthcare,Kolkata,Bangalore,Tablet,97.94.242.62,Verified,1261,0,4,182.9,0.2531,0.4361,Medium,None,0,0,0,1,0,0,0,0,Not Required,28.58,0,None
TXN01CD95581C6D,2024-11-29 17:16:05,ACC542666,CUST17592,Axis Bank,Wire Transfer,Debit,108715.25,Entertainment,Chennai,Mumbai,Tablet,97.20.37.49,Expired,2996,0,4,41.8,0.4082,0.2004,Low,None,0,0,0,1,0,0,0,0,Not Required,16.04,0,None
TXN4EB723B13013,2024-01-12 20:31:45,ACC539898,CUST31798,Yes Bank,ATM,Withdrawal,35975.71,Unknown Vendor,Pune,USA,Tablet,98.238.183.79,Verified,1503,0,1,160.6,0.3251,0.3675,Medium,New Beneficiary,1,1,0,1,0,0,0,0,Not Required,65.92,0,None
TXN9DD36138CC26,2023-12-10 17:41:46,ACC876646,CUST17665,IndusInd Bank,Mobile Banking,Debit,83041.4,Travel,Lucknow,Lucknow,Unknown,107.151.78.51,Verified,972,0,2,99.9,0.2946,0.3345,Medium,AML Flag,1,1,0,1,0,0,0,0,Not Required,55.2,0,None
TXN43FF649B9760,2024-12-16 20:57:01,ACC813536,CUST73092,SBI,Mobile Banking,Refund,52891.21,Foreign Exchange,Bangalore,Singapore,POS Terminal,126.94.30.135,Verified,3466,0,1,152.9,0.1856,0.3823,Medium,None,0,0,0,1,0,0,0,0,Not Required,5.83,0,None
TXN82F2FB97D36C,2024-08-02 17:55:49,ACC694731,CUST16630,Axis Bank,UPI,Payment,503185.69,Real Estate,Mumbai,Mumbai,POS Terminal,142.210.6.5,Expired,1204,1,9,3994.0,0.8479,0.811,Critical,Device Mismatch; Geo Anomaly; Multiple Failures; Structuring,4,1,1,0,1,1,1,1,Under Review,0.97,1,Synthetic Identity
TXN56B6A884AC73,2025-11-28 14:55:12,ACC946335,CUST27342,HDFC Bank,Net Banking,Refund,97519.18,Online Gaming,Mumbai,Delhi,ATM Terminal,98.193.243.15,Verified,2908,0,1,100.0,0.1953,0.3573,Medium,None,0,0,0,1,0,0,0,0,Not Required,64.53,0,None
